subarray,lon,lat,depth_km,vs_median_km_s,vs_q16_km_s,vs_q84_km_s,vs_std_km_s,n_periods_used
38,109.583333,42.087500,20.0,3.73414,3.45875,4.10230,0.28798,39
38,109.583333,42.087500,40.0,3.02271,2.91917,3.14778,0.14458,39
38,109.583333,42.087500,60.0,3.25513,3.22142,3.29798,0.03788,39
38,109.583333,42.087500,80.0,3.51544,3.49874,3.53807,0.02127,39
38,109.583333,42.087500,100.0,3.54211,3.52956,3.56036,0.01857,39
39,109.583333,42.212500,2.0,2.75439,2.36726,3.20733,0.39877,39
39,109.583333,42.212500,5.0,2.89442,2.51743,3.18412,0.34542,39
39,109.583333,42.212500,10.0,3.17444,2.73760,3.40750,0.37768,39
39,109.583333,42.212500,20.0,3.85651,3.53348,4.09269,0.27193,39
39,109.583333,42.212500,40.0,2.99933,2.91635,3.13959,0.12348,39
39,109.583333,42.212500,60.0,3.23723,3.20262,3.28485,0.04905,39
39,109.583333,42.212500,80.0,3.51569,3.49755,3.53706,0.02098,39
39,109.583333,42.212500,100.0,3.54891,3.53184,3.57058,0.02062,39
40,109.583333,42.337500,2.0,2.66759,2.31770,3.16989,0.44472,39
40,109.583333,42.337500,5.0,2.96504,2.62778,3.14319,0.28151,39
40,109.583333,42.337500,10.0,3.19281,2.93017,3.60241,0.33566,39
40,109.583333,42.337500,20.0,3.68693,3.47948,3.94955,0.23890,39
40,109.583333,42.337500,40.0,2.90508,2.82361,3.01994,0.10567,39
40,109.583333,42.337500,60.0,3.23401,3.18539,3.28845,0.05786,39
40,109.583333,42.337500,80.0,3.49990,3.48619,3.52761,0.03610,39
40,109.583333,42.337500,100.0,3.55496,3.53605,3.58212,0.02358,39
41,109.750000,41.212500,2.0,2.86487,2.19860,3.33223,0.51065,39
41,109.750000,41.212500,5.0,3.23666,2.92354,3.79497,0.43772,39
41,109.750000,41.212500,10.0,3.64684,3.41269,4.09132,0.41994,39
41,109.750000,41.212500,20.0,3.84483,3.38668,4.20428,0.36961,39
