disp_best_rms_km_s,method,reference_in_p05_p95,site_index,status,vs_mae_km_s
nan,DI-Weak,0.8049792531120332,9858,ok,0.15952341258525848
0.021462200980858853,QEDisp m0 multistart,nan,9868,ok,0.16679851071192126
nan,DI-Strong,0.5020746887966805,9868,ok,0.14951425790786743
nan,DI-Weak,0.5145228215767634,9868,ok,0.31615009903907776
0.008638705703330071,QEDisp m0 multistart,nan,9938,ok,0.07646806681898789
nan,DI-Strong,0.8547717842323651,9938,ok,0.10464552789926529
nan,DI-Weak,0.946058091286307,9938,ok,0.11421467363834381
0.02216547603587688,QEDisp m0 multistart,nan,9951,ok,0.10874721876705021
nan,DI-Strong,0.5477178423236515,9951,ok,0.1446371078491211
nan,DI-Weak,0.5103734439834025,9951,ok,0.27507254481315613
0.014677411416300006,QEDisp m0 multistart,nan,9952,ok,0.07194314881762878
nan,DI-Strong,0.5850622406639004,9952,ok,0.11985853314399719
nan,DI-Weak,0.8215767634854771,9952,ok,0.13570895791053772
0.022082328648506226,QEDisp m0 multistart,nan,9986,ok,0.07540587124604314
nan,DI-Strong,0.49377593360995853,9986,ok,0.15140973031520844
nan,DI-Weak,0.7219917012448133,9986,ok,0.1910419762134552
0.017213740488659084,QEDisp m0 multistart,nan,10074,ok,0.08725018563575733
nan,DI-Strong,0.5643153526970954,10074,ok,0.14011028409004211
nan,DI-Weak,0.5352697095435685,10074,ok,0.29334378242492676
0.020970633132921503,QEDisp m0 multistart,nan,10141,ok,0.13815971929093296
nan,DI-Strong,0.8174273858921162,10141,ok,0.10409872978925705
nan,DI-Weak,0.5850622406639004,10141,ok,0.27515605092048645
0.0018326209983192832,QEDisp m0 multistart,nan,10356,ok,0.07039141922467544
nan,DI-Strong,0.6970954356846473,10356,ok,0.09184439480304718
nan,DI-Weak,1.0,10356,ok,0.07421306520700455
0.03892287268384872,QEDisp m0 multistart,nan,10553,ok,0.23948615799283682
nan,DI-Strong,0.7883817427385892,10553,ok,0.08831082284450531
nan,DI-Weak,0.8838174273858921,10553,ok,0.1758364886045456
0.01134679565525433,QEDisp m0 multistart,nan,10568,ok,0.12133929360078718
nan,DI-Strong,0.6473029045643154,10568,ok,0.11126013845205307
nan,DI-Weak,0.9294605809128631,10568,ok,0.12014627456665039
